seed,n,d,p,loss,solver,gamma,standardize,varsort_raw,varsort_fit,auroc_change_w,auroc_change_a,max_h,seconds
7,50,12,1,gaussian,admm,0.05,True,0.42857142857142855,0.5,0.6866071428571429,0.8802816901408451,0.004293811332034991,0.37789329199586064
7,50,12,1,student_t,admm,0.0,True,0.42857142857142855,0.5,0.8482142857142857,0.7711267605633803,0.0039116650683901355,0.3518823750055162
7,50,12,1,student_t,admm,0.05,True,0.42857142857142855,0.5,0.7366071428571429,0.9823943661971831,0.003816273647791135,0.3478917500033276
8,50,12,1,gaussian,lbfgs_smooth,0.0,True,0.8260869565217391,0.5,0.6035714285714285,0.7323943661971831,0.0068438888382917895,0.268741666994174
8,50,12,1,gaussian,lbfgs_smooth,0.05,True,0.8260869565217391,0.5,0.5857142857142857,0.75,0.006829337303383198,0.2461814999987837
8,50,12,1,student_t,lbfgs_smooth,0.0,True,0.8260869565217391,0.5,0.4714285714285714,0.6901408450704225,0.006568977284512556,0.25196120900363894
8,50,12,1,student_t,lbfgs_smooth,0.05,True,0.8260869565217391,0.5,0.48214285714285715,0.6901408450704225,0.006588775166431304,0.23228191700036405
8,50,12,1,gaussian,admm,0.0,True,0.8260869565217391,0.5,0.8285714285714286,0.7112676056338029,0.00499524974851262,0.3078464579957654
8,50,12,1,gaussian,admm,0.05,True,0.8260869565217391,0.5,0.9642857142857143,0.670774647887324,0.004240304086851054,0.30200362500181654
8,50,12,1,student_t,admm,0.0,True,0.8260869565217391,0.5,0.8625,0.6795774647887324,0.004002698054613063,0.34962800000357674
8,50,12,1,student_t,admm,0.05,True,0.8260869565217391,0.5,0.9714285714285714,0.6742957746478874,0.0036359129571525983,0.28122616699693026
9,50,12,1,gaussian,lbfgs_smooth,0.0,True,0.9444444444444444,0.5,0.6053571428571428,0.5070422535211268,0.006938159017922274,0.24646287500218023
9,50,12,1,gaussian,lbfgs_smooth,0.05,True,0.9444444444444444,0.5,0.55,0.5035211267605634,0.006930565515249398,0.25104641600046307
9,50,12,1,student_t,lbfgs_smooth,0.0,True,0.9444444444444444,0.5,0.6107142857142858,0.4507042253521127,0.006732342437853589,0.23686979099875316
9,50,12,1,student_t,lbfgs_smooth,0.05,True,0.9444444444444444,0.5,0.6,0.4612676056338028,0.006745591841246679,0.2491370000061579
9,50,12,1,gaussian,admm,0.0,True,0.9444444444444444,0.5,0.41964285714285715,0.6408450704225352,0.005140214432987733,0.3424034169947845
9,50,12,1,gaussian,admm,0.05,True,0.9444444444444444,0.5,0.3392857142857143,0.36619718309859156,0.004608267110807418,0.3653184579961817
